Major,Types,Activated,Unactivated,Activation_Rate
Accounting and Tax,['AC'],6.0,33.0,15.4
Admin Specialist - Bookkeeping & Accounting Emphasis,['AAS'],4.0,29.0,12.1
Admin Specialist - Marketing Communications Emphasis,['AAS'],5.0,12.0,29.4
Admin Specialist - Medical Admin Support Emphasis,['AAS'],2.0,13.0,13.3
Administrative Specialist,['AAS'],7.0,36.0,16.3
Advanced Mechatronics Engineering Technology,['AAS' 'BTC'],37.5,76.0,34.2
"Agricultural Business, Leadership, and Education",['AA'],7.0,66.0,9.6
Agriculture,[None],1.0,0.0,100.0
Animal Veterinary Sciences,['AS'],19.0,173.0,9.9
Anthropology,['AA'],8.0,41.0,16.3
Applied Technology and Apprenticeship,['AAS'],2.0,23.0,8.0
Auto Body Technology,['AAS' 'ATC' 'BTC2' 'ITC'],0.25,5.25,2.5
Automotive Technology,['AAS' 'ATC' 'ITC'],28.33,105.33,20.17
Biology,[None],1.0,0.0,100.0
Biology -,['AS'],27.0,164.0,14.1
"Biology - Cellular, Molecular & Biomedical Sciences Emph",['AS'],11.0,85.0,11.5
Biology - General,['AS'],2.0,9.0,18.2
Biology - Healthcare Emphasis,['AS'],1.0,12.0,7.7
Biology - Human Biology,['AS'],0.0,9.0,0.0
Biology - Human Biology Emphasis,['AS'],27.0,283.0,8.7
Biology - Natural Resources,['AS'],0.0,3.0,0.0
Biology - Natural Resources Emphasis,['AS'],25.0,87.0,22.3
"Biology-Microbiological, Molecular & Biomedical Sciences",['AS'],0.0,1.0,0.0
Biotechnology Laboratory Assistant,['AC'],0.0,3.0,0.0
Bookkeeping and Accounting,['AAS' 'ATC'],5.5,41.5,6.25
BUSINESS,['AA'],117.0,1139.0,9.3
Business Analytics,['AC'],4.0,20.0,16.7
Business Technology,['BTC'],3.0,17.0,15.0
Business Writing,['BTC'],1.0,10.0,9.1
Chemistry,['AS'],12.0,55.0,17.9
Cisco Networking and Security Technologies,['AAS' 'ATC' 'BTC'],1.67,13.0,5.73
Collision Repair Technology,['AAS' 'ATC' 'BTC' 'BTC1' 'BTC2' 'ITC'],0.5,15.0,2.55
Communication,['AA'],20.0,86.0,18.9
Computer Science,['AS'],56.0,373.0,13.1
Computer Support Specialist,['AAS' 'ATC' 'ITC'],4.0,18.33,24.2
Criminal Justice,['AA'],44.0,272.0,13.9
Cybersecurity,['AAS' 'ATC'],19.0,95.5,16.85
Dental Assisting,['AAS' 'ITC'],3.5,59.0,6.75
Digital Marketing,['BTC'],13.0,27.0,32.5
Drafting Technology,['AAS' 'ATC' 'ITC'],6.67,36.67,18.73
Early Childhood Education,['AAS' 'BTC'],6.0,46.5,12.5
Electrical Engineering Technologies & Technicians,[None],1.0,0.0,100.0
Electronics Technology,['AAS' 'ATC'],0.0,1.0,0.0
Elementary Education,['AA'],25.0,218.0,10.3
Engineering,['AS'],43.0,347.0,11.0
English - Creative Writing Emphasis,['AA'],17.0,92.0,15.6
English - Literature Emphasis,['AA'],9.0,47.0,16.1
Entrepreneurship and Small Business Management,['AC'],2.0,55.0,3.5
Exercise Science,['AS'],14.0,158.0,8.1
Fermentation Science,['AC'],0.0,2.0,0.0
Fire Service Management,['AA'],0.0,2.0,0.0
Fire Service Technology,['AA' 'BTC1' 'BTC2' 'ITC'],0.25,31.75,0.32
General Education,['AC'],15.0,197.0,7.1
General Studies,[None],1.0,0.0,100.0
Geographic Information Systems,['AC'],7.0,32.0,17.9
Geography,['AA'],5.0,15.0,25.0
Geosciences,['AS'],11.0,37.0,22.9
Health and Medical Assisting Services,[None],1.0,0.0,100.0
Health Science and Public Health,['AS'],152.0,1518.0,9.1
Heavy Equipment Technician,['AAS' 'ATC' 'ITC'],6.67,29.67,19.87
Heavy-Duty Truck Technician,['AAS' 'ATC' 'ITC'],2.67,24.33,7.13
History,['AA'],7.0,74.0,8.6
Horticulture Technology,['AAS' 'ATC' 'ITC'],7.33,55.67,7.4
Hvac Apprenticeship Program,[None],0.0,1.0,0.0
Law Enforcement,['AAS' 'BTC' 'ITC'],11.0,10.67,46.2
Liberal Arts,[None 'AA'],76.5,509.5,56.4
Machine Tool Technology,['AAS' 'ATC' 'BTC' 'BTC1' 'BTC2' 'ITC'],7.0,24.83,16.52
Maintenance and Light Repair,['BTC'],19.0,50.0,27.5
Management,['AAS'],0.0,1.0,0.0
Marketing Communications,['AAS' 'ATC' 'ITC'],8.67,38.33,21.63
Media Arts,['AA'],29.0,120.0,19.5
Medical Administrative Support,['AAS' 'BTC'],3.0,12.5,10.7
Medical Assistant,['AAS' 'ITC'],14.5,76.0,15.95
Medical Assistant Program,[None],0.0,5.0,0.0
Network & System Administration,['AAS' 'ATC' 'ITC'],8.0,15.0,38.27
Network & System Administration: Cloud Computing,['SC'],1.0,0.0,100.0
Non Degree-Seeking,[None],16.0,996.0,1.6
Occupational Therapy Assistant,['AAS'],5.0,32.0,13.5
Office Management,['BTC'],4.0,10.0,28.6
Philosophy,['AA'],7.0,45.0,13.5
Photography,[None],1.0,0.0,100.0
Physical Therapist Assistant,['AAS'],4.0,33.0,10.8
Political Science,['AA'],16.0,67.0,19.3
Powersports & Small Engine Repair Technology,['AAS' 'ATC' 'BTC' 'BTC2' 'ITC'],4.2,18.2,17.42
Practical Nursing,['ITC'],7.0,41.0,14.6
Professional Bookkeeping,['BTC'],2.0,33.0,5.7
Psychology,[None 'AA'],35.5,211.0,57.1
Public Health,['AA'],1.0,8.0,11.1
Registered Nursing,['AS'],17.0,129.0,11.6
Science Technologies & Technicians,[None],1.0,0.0,100.0
"Science, Technology, Engineering and Math (STEM)",['AS'],19.0,117.0,14.0
Secondary Education - Social Science,['AA'],11.0,94.0,10.5
Secondary Education - STEM,['AS'],4.0,26.0,13.3
Sign Language Studies,['AA'],8.0,69.0,10.4
Social Work,['AA'],59.0,218.0,21.3
Social Work/Human Services,[None],1.0,0.0,100.0
Sociology,['AA'],3.0,37.0,7.5
Software Development,['AAS' 'ATC' 'BTC' 'ITC'],9.5,43.5,19.08
Spanish,['AA'],9.0,63.0,12.5
Studio Art,['AA'],32.0,153.0,17.3
Surgical Technology,['AAS'],4.0,33.0,10.8
Swift Programming,['AC'],7.0,18.0,28.0
Unmanned Aerial Systems,['BTC' 'ITC'],5.0,16.0,23.8
Welding and Metals Fabrication,[None 'AAS' 'ATC' 'BTC' 'BTC1' 'BTC2' 'ITC'],21.71,48.71,35.67
